apm_code,nombre,estado,lifecycle_status,clase_aplicacion,tipo_de_aplicacion,icr_relevant,data_protection_relevant
AP05934.02,SAP ISU I&N Spain ? DC,Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf customized),false,false
AP10671.01,SAP ISU Integración Contratación,Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf customized),false,false
AP10671.02,SAP ISU Integración Medidas,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP10671,SAP ISU Market Iberia,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
AP05015,SAP ISU Market Romania,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
AP05015.01,SAP ISU Market Romania BIL_BI,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP05015.06,SAP ISU Market Romania BIL_DM&EDM,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP05015.02,SAP ISU Market Romania CM (FI-CA),Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP05015.03,SAP ISU Market Romania FO,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP05015.04,SAP ISU Market Romania OSI,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP05015.05,SAP ISU Market Romania TEHNIC,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
